<<<<<<< Updated upstream
Nome da Vaga;Nome da Empresa;Nível de Experiência;Data de Publicação;Faixa Salarial;Localização;Modelo Contratual;Benefícios;Descrição do Cargo;Descrição da Empresa
Bolsista Graduado [engenharia de Alimentos, Farmácia, Biologia, Química, Eng. Química] Givaudan;IEL /SP - Inova Talentos;Júnior/ Trainee;Publicada há 5 dias;a combinar;Todo o Brasil;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos;
Bolsista Graduado [ Eng. Química, Eng. Ambiental] Bracell SP Celulose Ltda;IEL /SP - Inova Talentos;Júnior/ Trainee;Publicada há 5 dias;a combinar;Todo o Brasil;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos;
Estágio em Administração de Empresas Ou Engenharia de Produção;Fundação Getulio Vargas;Estágio;Publicada em 27/09/2024;R$ 980;Rio de Janeiro;Estágio;Restaurante interno + Vale-transporte;"Envio de pesquisas de satisfação para os alunos (separar disciplinas, solicitar bases com os dados de envio, programar envios); Coleta dos dados e confecção de relatórios. Inglês - Nível Básico - Principais fórmulas no Excel (se, procv, cont.se), tabelas dinâmicas e segmentação de dados. - Comunicação clara e eficaz, tanto verbal como escrita; - Ética profissional e comprometimento; - Capacidade trabalhar em equipe; - Capacidade de analisar dados, identificar padrões e problemas; - Trabalhar com planilhas e ferramentas básicas de análise de dados. ";MISSÃO Estimular o desenvolvimento socioeconômico nacional. VISÃO Ser reconhecida como instituição inovadora, comprometida com o desenvolvimento nacional, pela formação de uma elite acadêmica, pela geração de bens públicos nas áreas sociais e afins, garantindo a sua sustentabilidade econômica com a prestação de serviços de qualidade e elevado padrão ético.
Estagiário(a) em Engenharia Civil - Departamento de Geotecnia;ENGECORPS;Estágio;Publicada há 6 dias;a combinar;São Paulo;Estágio;; A Engecorps é uma empresa de engenharia consultiva, especializada em projetos, estudos, supervisão e gerenciamento de obras de infraestrutura.;
Engenheiro de Gestão de Ativos e Confiabilidade - Mecânica;Orizon Meio Ambiente;Sênior;Publicada há 5 dias;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Auxílio academia + Auxílio farmácia + Cesta de natal + Seguro de vida;O Engenheiro de Gestão de Ativos e Confiabilidade é responsável por otimizar a performance, confiabilidade e vida útil dos equipamentos mecânicos em plantas de biogás, biometano e usinas termoelétricas. Essa função envolve a aplicação de práticas de manutenção preditiva, preventiva e corretiva, bem como a análise de dados para tomar decisões estratégicas relacionadas aos ativos.  Entre as responsabilidades estão:;No mercado desde 1999, a companhia é referência pelo pioneirismo e por oferecer uma linha completa de soluções integradas de gestão e beneficiamento de resíduos, que vão desde a reciclagem até a geração de biogás e energia elétrica renovável. Seus ecoparques atuam como a última barreira protetora do meio ambiente, reduzindo a emissão de gás carbônico, tratando resíduos com potencial de reaproveitamento pela indústria, e garantindo que o lixo – material que não pode ser reutilizado – seja destinado de forma ambientalmente adequada, evitando a contaminação de solos, rios, mares e ar.  “Na Orizon as oportunidades são para todos, pois acreditamos que equipes diversas são mais eficientes! Desta forma, se você se identificou com a vaga venha se candidatar, pois buscamos e valorizamos talentos de diferentes raças, orientação sexual, origens, idades, gêneros, pessoas com deficiência, entre outros  #VemSerOrizonVR!
Estágio em Engenharia Civil - Ge Aerospace;GE Aerospace;Estágio;Publicada em 26/09/2024;a combinar;Petrópolis;Estágio;; Na GE Aerospace, acreditamos que o mundo funciona melhor quando ele voa. Como fornecedor líder mundial de motores a jato, componentes e sistemas integrados para aeronaves comerciais e militares, nosso investimento substancial em pesquisa e desenvolvimento nos mantém sempre olhando para o futuro. Temos uma dedicação incansável ao futuro de voos seguros e mais sustentáveis e acreditamos no nosso time super talentoso para fazer isso acontecer. Trabalhar na GE Aerospace significa que você está trazendo sua perspectiva única, seu espírito inovador, sua motivação e curiosidade para uma equipe colaborativa e diversificada. Significa que, se você tiver ideias, nós ouviremos e que você será capaz de fazer parte da nossa transformação LEAN. Aqui, você fará um trabalho do qual se orgulhará e que realmente importa. Onde outros param, nós aceleramos.;
Engenheiro de Gestão de Ativos e Confiabilidade - Elétrica;Orizon Meio Ambiente;Sênior;Publicada há 5 dias;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Auxílio academia + Auxílio farmácia + Cesta de natal + Seguro de vida;O Engenheiro de Confiabilidade será responsável por assegurar a integridade, disponibilidade e eficiência dos sistemas elétricos, instrumentação e automação em nossas plantas de biogás, biometano e usinas termoelétricas. Essa posição envolve análise de dados, manutenção preventiva, resolução de problemas, colaboração com equipes multidisciplinares e gestão de ativos.  Entre as responsabilidades estão:;No mercado desde 1999, a companhia é referência pelo pioneirismo e por oferecer uma linha completa de soluções integradas de gestão e beneficiamento de resíduos, que vão desde a reciclagem até a geração de biogás e energia elétrica renovável. Seus ecoparques atuam como a última barreira protetora do meio ambiente, reduzindo a emissão de gás carbônico, tratando resíduos com potencial de reaproveitamento pela indústria, e garantindo que o lixo – material que não pode ser reutilizado – seja destinado de forma ambientalmente adequada, evitando a contaminação de solos, rios, mares e ar.  “Na Orizon as oportunidades são para todos, pois acreditamos que equipes diversas são mais eficientes! Desta forma, se você se identificou com a vaga venha se candidatar, pois buscamos e valorizamos talentos de diferentes raças, orientação sexual, origens, idades, gêneros, pessoas com deficiência, entre outros  #VemSerOrizonVR!
Estágio em Engenharia Industrial | Manaus AM;Michelin;Estágio;Publicada em 24/09/2024;R$ 1.650;Manaus;Estágio;Auxílio fretado + Desconto em produtos + Programa de treinamentos + Refeitório + Sala de Jogos;"Estágio em Engenharia Industrial | Manaus AM  Estamos em busca de um estagiário para atuar na área de Engenharia Industrial em nossa empresa em Manaus AM. O candidato irá auxiliar em atividades relacionadas à melhoria de processos produtivos, análise de dados, elaboração de relatórios e suporte à equipe de engenharia. Requisitos: Cursando Engenharia Industrial, Produção, Mecânica, Elétrica, ou áreas afins; Cursando a partir do 4º período; Desejável conhecimento em ferramentas de melhoria contínua; Conhecimento em Excel avançado; Disponibilidade para estagiar por 6 horas diárias; Atividades: Auxiliar na implementação de projetos de melhoria contínua; Realizar análises de processos produtivos; Participar de reuniões com a equipe de engenharia; Elaborar relatórios e apresentações.  Se você se identifica com a área de Engenharia Industrial e quer fazer parte de uma empresa líder em seu segmento, candidate-se através do botão abaixo.  Seja protagonista da sua carreira!  Estamos ansiosos para receber sua candidatura!  A Michelin não cobra qualquer valor para cadastro ou participações em processo seletivo. Se algum pedido desta natureza for feito a você, recuse! Inglês - Nível Básico";Michelin Indústria de Pneus LTDA  A Michelin é uma das líderes mundiais na fabricação e comercialização de pneus, serviços e experiências. São mais de 130 anos de história com inovação. Tudo isso é possível por intermédio de uma equipe de mais de 112 mil funcionários, em 69 unidades industriais espalhadas por todos os continentes do mundo. Essa é a força e a tradição de uma empresa fundada em 1891, que já nasceu com a missão de ser pioneira e vem inovando em todo o mundo para fazer das nossas vidas, uma melhor vida em movimento.  Nossa razão de ser é oferecer às pessoas à melhor maneira de ir mais longe. Na Michelin, optamos por ver oportunidades. Escolhemos um futuro “Tudo Sustentável” ao inovar para encontrar soluções sustentáveis para o planeta, ao expandir as nossas atividades para além da mobilidade, ao apostar no desempenho sustentável e ao ser uma empresa responsável, que se preocupa em dar às pessoas a melhor maneira de ir mais longe. Nossa estratégia passa por crescimento sustentável, com equilíbrio entre Pessoas, Performance financeira e Planeta. Para Pessoas, significa desenvolvimento, comprometimento, segurança, diversidade em todas as suas formas e geração de valor para seus clientes. Para Performance financeira, significa crescimento, valor financeiro, a força da marca Michelin e inovação em seus produtos, serviços e soluções. Para o Planeta, significa alcançar a neutralidade de carbono após considerar a fabricação, a energia, o uso do produto, a pegada ambiental dos locais (biodiversidade etc) e a ciclo de vida do produto.  Faça parte desse time!
10661 - Analista de Engenharia de Produto - Rac (Manaus);Talent Group;Sênior;Publicada há 5 dias;a combinar;Amazonas;Regime CLT;Assistência médica + Assistência odontológica + Auxílio fretado + Participação nos Lucros ou Resultados + Previdência privada + Refeitório;Principais responsabilidades: Elaborar a projeção de custo de produtos Analisar a evolução do custo de produto realizado versus projeções Identificar variações e endereçar plano de ação para correção do processo de custeio junto a time multifuncional  Principais desafios da área: Gestão do tempo, responsabilidade, organização. Ter senso de urgência e proatividade. Padronização e normatização dos processos. Comunicação com times internos e externos.  Liderar projetos de desenvolvimento de novos produtos e alterações técnicas de produtos do portifólio. Elaborar/gerenciar cronogramas de projetos, identificando o caminho crítico e garantindo a entrega das atividades conforme o planejado. Conduzir reuniões de acompanhamento e preparar de materiais para apresentação dos projetos. Realizar análise técnica de benchmarking de produtos.  Requisitos: Ensino superior completo em Engenharia (Mecânica, Elétrica, Eletrônica, Mecatrônica ou Produção). Experiência com Excel avançado (VBA, formulas avançadas etc) e/ou linguagem de programação. Pós-graduação na área de gestão, finanças ou ciência de dados é um diferencial. Inglês avançado (Conversação, escrita e leitura) Proficiência com ferramentas Office (Excel, Word, Power Point, Project, Power BI) Experiência com desenvolvimento de produtos de refrigeração (freezer, geladeira, ar condicionado) Inglês - Nível Avançado;Somos uma empresa comprometida com os resultados de nossos clientes e com a satisfação de nossos colaboradores. Nos orgulhamos do fato de contarmos com clientes e colaboradores que confiam em nossos serviços desde a nossa fundação, comprovando que o investimento realizado na construção de relações sólidas e transparência nas atitudes valem a pena.
Engenheiro de Planejamento (VAGA Extensiva para Pessoas com Deficiência);Concremat;Pleno;Publicada há 5 dias;a combinar;Ipatinga;Regime CLT;; Empresa de Engenharia Consultiva;
Bolsista Mestre [engenharias, Estatística, Ciências, Matemática] Bosch;IEL /SP - Inova Talentos;Júnior/ Trainee;Publicada em 26/09/2024;a combinar;100% Home Office;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos;
Assistente Administrativo - Engenharia Clínica - Hospital Nossa Senhora das Neves;Rede D'Or;Júnior/ Trainee;Publicada hoje;a combinar;João Pessoa;Regime CLT;Assistência médica + Assistência odontológica + Convênio com empresas parceiras;" - Ensino médio completo; - Desejável conhecimento em Eletrônica e/ou Equipamentos Biomédicos - Conhecimento no pacote office; - Experiência na área será um diferencial.      - Contribuir com informações para orçamentos, relatórios, projetos, políticas, procedimentos e normas;  - Executar os procedimentos de recebimento, armazenamento, controle, separação, expedição e dispensação de insumos;  - Lançar dados, gerando informações que garantam o desenvolvimento de relatórios fidedignos e transparentes;  - Informar ao seu superior imediato, através de parecer técnico, laudo de equipamento que venha a sofrer danos nos seus ambientes de trabalho, bem como orientá-los sobre as medidas de eliminação e neutralização;  - Lançar os dados colhidos das manutenções corretivas e preventivas dos técnicos no sistema de gerenciamento de equipamentos;  - Dentre outras atividades..      - Local de trabalho: Hospital Nossa Senhora das Neves - João Pessoa/PB; - Escala de trabalho; - Disponibilidade para treinamento.";"Fundada em 1977, a Rede D’Or é a maior rede privada de assistência médica integrada do país, com 46 anos de existência. Está presente em 13 estados (Rio de Janeiro, São Paulo, Pernambuco, Bahia, Maranhão, Sergipe, Ceará, Paraná, Minas Gerais, Mato Grosso do Sul, Paraíba, Alagoas e Pará) e no Distrito Federal. Opera 74 hospitais, dos quais 71 hospitais próprios e 3 sob gestão, somando quase 12 mil leitos, e a maior rede integrada de tratamento oncológico do país, com a Oncologia D’Or e a Onco Star. Além disso, a Rede D’Or detém uma das maiores redes diagnósticas do Brasil; extensa operação de banco de sangue; uma das maiores consultorias de saúde do país; e o maior e mais avançado parque de cirurgia robótica da América Latina. São, ao todo, 70,9 mil pessoas colaboradoras e 87 mil médicos credenciados, que realizaram cerca de 5,3 milhões de atendimentos de emergência, 461 mil cirurgias, 53,7 mil partos e 523 mil internações nos últimos 12 meses, além de 12,9 mil cirurgias robóticas desde o início do serviço, há cinco anos.  Em 23 de dezembro de 2022, a proposta de valor da Rede D’Or foi reforçada significativamente com a consumação da combinação de negócios com a SulAmérica – a maior seguradora do Brasil e uma das maiores operadoras de saúde do país. Com atuação nos segmentos de seguro saúde e odonto, vida e acidentes pessoais, gestão de ativos e previdência privada, a SulAmérica conta com mais de 4 mil pessoas colaboradoras e possui mais de 7 milhões de clientes distribuídos por todo Brasil.  Acreditamos na responsabilidade em contribuir para uma sociedade mais justa, inclusiva e com igualdade de oportunidades, por isso, todas as nossas vagas estão abertas a pessoas de diferentes perfis e contextos, inclusive pessoas com deficiência.  Se você é uma pessoa qualificada, de perfil inovador e sintonizada com o que há de mais atual em sua área de atuação, junte-se à nossa equipe.  Oferecemos mais que vagas de trabalho, oferecemos oportunidades para você fazer a diferença."
Auxiliar de Engenharia (VAGA Extensiva para Pessoas com Deficiência);Concremat;Auxiliar/ Operacional;Publicada em 09/09/2024;a combinar;Goias;Regime CLT;; Empresa de Engenharia Consultiva;
Bolsista Mestre [engenharias, Matemática, Estatística] Inova Talentos;IEL /SP - Inova Talentos;Júnior/ Trainee;Publicada em 14/08/2024;a combinar;Todo o Brasil;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos;
Engenheiro Civil - Gerente de Projetos - Construção Civil Industrial;Confidencial;Pleno;Publicada em 16/09/2024;R$ 5.000 a R$ 6.000;Santa Luzia;Regime CLT;Assistência médica + Vale-alimentação;" Atribuições: Criar e desenvolver os procedimentos de gestão de obras de reforma e construção industrial Liderar equipe operacional, e técnica de todas as áreas de cada obra, com cerca de 30 pessoas no total Controlar e realizar adequações orçamentárias de cada obra Gerenciar os prazos de entrega de cada etapa da obra Realizar inspeções de validação de qualidade da execução de cada obra Interagir com demais gerências e áreas operacionais ao longo do desenvolvimento dos projetos; Atuar como ponto focal para o recebimento, tratamento e devolutiva das informações de cada projeto Monitorar conformidade com os padrões, políticas, procedimentos e modelos de gerenciamento de projetos; Comunicação objetiva, mas também voltada para o relacionamento e engajamento Comportamentos: Visão estratégica, resolutividade, análise de dados, comunicação assertiva e trabalho em equipe; Comunicação objetiva, mas também voltada para o relacionamento e engajamento   Tipo de vaga: Efetivo CLT Salário base: R$ 6.000,00 Regime: Presencial Local: Santa Luzia Horário: 44 horas semanais Graduação completa em engenharia civil  Experiência prática intermediária: Excel, Gestão de Projetos (PMBOK), AutoCAD e MS PROJECT  Disponibilidade para: Marília - SP, Mariana e Itabirito - MG";
Engenheiro Mecânico (Projetos) (VAGA Extensiva para Pessoas com Deficiência);Concremat;Pleno;Publicada há 6 dias;a combinar;Cubatão;Regime CLT;; Empresa de Engenharia Consultiva;
Engenheiro Mecânico de Manutenção (VAGA Extensiva para Pessoas com Deficiência);Concremat;Pleno;Publicada ontem;a combinar;Minas Gerais;Regime CLT;; Empresa de Engenharia Consultiva;
Engenheiro Civil com Foco em Saneamento (VAGA Extensiva para Pessoas com Deficiência);Concremat;Pleno;Publicada em 07/08/2024;a combinar;Distrito Federal;Regime CLT;Assistência médica + Vale-refeição + Vale-transporte;Estamos em busca de um Engenheiro Civil com foco em atuação em hidráulica ou saneamento para se juntar à nossa equipe. Local: Brasília/DF Formação: Engenheiro Civil, Mestrado em: Hidráulica, Saneamento ou recursos hídricos. Principais Atividades:  Experiência Desejável:  Conhecimento em simulação de sistemas hidráulicos, controle de perdas de água ou projetos de rede de distribuição de água.;Empresa de Engenharia Consultiva
Comprador Jr - Instrumentais Cirúrgicos, Acessórios de Enfermagem & Eng. Clínica - Corporativo SP;Rede D'Or;Júnior/ Trainee;Publicada hoje;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Convênio com empresas parceiras;" - Formação: Ensino superior completo; - Experiência com compras de Acessórios de Eng. Clínica, Instrumentais Cirúrgicos e Acessórios de Enfermagem; - Pacote office intermediário, com foco em Excel.    - Assegurar o abastecimento dos insumos hospitalares utilizados pela empresa, dentro dos padrões estabelecidos de prazo e qualidade dos produtos; - Negociação com fornecedores, visando ao fechamento de compras dentro das melhores condições de preço, qualidade prazo de entrega; - Emitir os pedidos de compra e encaminhá-los aos fornecedores, fazendo o acompanhamento do processo de entrega e cumprimento final de todas as condições negociadas; - Atualizar bancos de dados internos com informações de pedidos (datas, fornecedores, quantidades, descontos; - Realizar Follow-up dos pedidos, visando assegurar sua entrega no prazo estabelecido, acompanhar processo de devolução de mercadorias entregues em desacordo com o pedido; - Solicitar cadastro de fornecedor, junto ao portal; - Pesquisar no mercado fornecedores e insumos alternativos, conforme as possibilidades do processo produtivo, visando melhorar a qualidade dos produtos, reduzir custos nas aquisições, através de coleta de preços, identificar as melhores oportunidades de compras; - Arquivar ordens de compra e documentos em geral após processo finalizado.    - Local de trabalho: Corporativo SP (Vila Nova Conceição/SP) – Atuação Híbrida; - Escala de trabalho: (5X2) 2ª a 5ª 8h as 18h / 6ª 8h as 17h.";"Fundada em 1977, a Rede D’Or é a maior rede privada de assistência médica integrada do país, com 46 anos de existência. Está presente em 13 estados (Rio de Janeiro, São Paulo, Pernambuco, Bahia, Maranhão, Sergipe, Ceará, Paraná, Minas Gerais, Mato Grosso do Sul, Paraíba, Alagoas e Pará) e no Distrito Federal. Opera 74 hospitais, dos quais 71 hospitais próprios e 3 sob gestão, somando quase 12 mil leitos, e a maior rede integrada de tratamento oncológico do país, com a Oncologia D’Or e a Onco Star. Além disso, a Rede D’Or detém uma das maiores redes diagnósticas do Brasil; extensa operação de banco de sangue; uma das maiores consultorias de saúde do país; e o maior e mais avançado parque de cirurgia robótica da América Latina. São, ao todo, 70,9 mil pessoas colaboradoras e 87 mil médicos credenciados, que realizaram cerca de 5,3 milhões de atendimentos de emergência, 461 mil cirurgias, 53,7 mil partos e 523 mil internações nos últimos 12 meses, além de 12,9 mil cirurgias robóticas desde o início do serviço, há cinco anos.  Em 23 de dezembro de 2022, a proposta de valor da Rede D’Or foi reforçada significativamente com a consumação da combinação de negócios com a SulAmérica – a maior seguradora do Brasil e uma das maiores operadoras de saúde do país. Com atuação nos segmentos de seguro saúde e odonto, vida e acidentes pessoais, gestão de ativos e previdência privada, a SulAmérica conta com mais de 4 mil pessoas colaboradoras e possui mais de 7 milhões de clientes distribuídos por todo Brasil.  Acreditamos na responsabilidade em contribuir para uma sociedade mais justa, inclusiva e com igualdade de oportunidades, por isso, todas as nossas vagas estão abertas a pessoas de diferentes perfis e contextos, inclusive pessoas com deficiência.  Se você é uma pessoa qualificada, de perfil inovador e sintonizada com o que há de mais atual em sua área de atuação, junte-se à nossa equipe.  Oferecemos mais que vagas de trabalho, oferecemos oportunidades para você fazer a diferença."
Bolsista Doutor [ciência da Computação, Engenharias Ou Áreas Afins] Companhia Brasileira de Aluminio;IEL /SP - Inova Talentos;Júnior/ Trainee;Publicada ontem;a combinar;São Paulo;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos;
Auxiliar de Controle de Obras - Estudante Arquittura e Urbanismo/ Engenharia Civil/ Técnico em Edificações;Tibério Construções e Incoporações;Auxiliar/ Operacional;Publicada em 15/08/2024;a combinar;São Paulo;Regime CLT;Vale-refeição + Vale-transporte;"1. Coletar informações e dados das obras in loco; 2. Alimentar planilhas de excel; 3. Realizar levantamentos fotográficos; 4. Conferir FVSs em obras; 5. Descrever em formato de relatório processos executivos e informações das obras; 6. Treinar o pessoal de obras nos procedimentos de execução de serviços e segurança das obras (PESS). 7. Manter histórico de medições e notas fiscais de ensaios em laboratórios; 8. Controlar e conferir os mapas de concretagem e as fichas de moldagens; 9. Alimentar o portal com os dados de obras, projetos e laboratórios; 10. Apresentar os problemas ocorridos através de triagens de informações nos relatórios gerados pelo excel.  Cursando Engenharia Civil, Arquitetura e Urbanismo ou Técnico de Edificações.";Há mais de cinco décadas no mercado imobiliário, a Tibério hoje ocupa uma posição sólida entre as mais expressivas empresas do setor. Com flexibilidade para operar em diversos segmentos da construção, tem em seu portfólio projetos residenciais, comerciais, hoteleiros e multiuso, do médio ao altíssimo padrão, nos principais bairros de São Paulo e região metropolitana.  Sempre antenada às novas tecnologias e tendências, a empresa é pioneira no domínio de técnicas construtivas, constantemente aprimoradas, para garantir segurança, agilidade e durabilidade das obras, possibilitando o menor custo dentro da qualidade requerida e prazos estipulados.
Bolsista Graduado [química, Engenharia Química, Farmácia] Químicos e Soluções Sustentáveis do Brasil;IEL /SP - Inova Talentos;Júnior/ Trainee;Publicada há 5 dias;a combinar;Paulínia;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos;
Supervisor de Gestão de Ativos;Orizon Meio Ambiente;Supervisão/ Coordenação;Publicada há 5 dias;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Auxílio academia + Auxílio farmácia + Cesta de natal + Seguro de vida;O Supervisor de Gestão de Ativos será responsável por liderar a equipe de engenheiros de gestão de ativos e confiabilidade, garantindo a eficiência, confiabilidade e vida útil dos ativos mecânicos e elétricos em nossas plantas de biogás, biometano e usinas termoelétricas. O supervisor atuará como ponto focal para a gestão estratégica dos ativos e aprimoramento contínuo dos processos.  Entre as responsabilidades estão: ;No mercado desde 1999, a companhia é referência pelo pioneirismo e por oferecer uma linha completa de soluções integradas de gestão e beneficiamento de resíduos, que vão desde a reciclagem até a geração de biogás e energia elétrica renovável. Seus ecoparques atuam como a última barreira protetora do meio ambiente, reduzindo a emissão de gás carbônico, tratando resíduos com potencial de reaproveitamento pela indústria, e garantindo que o lixo – material que não pode ser reutilizado – seja destinado de forma ambientalmente adequada, evitando a contaminação de solos, rios, mares e ar.  “Na Orizon as oportunidades são para todos, pois acreditamos que equipes diversas são mais eficientes! Desta forma, se você se identificou com a vaga venha se candidatar, pois buscamos e valorizamos talentos de diferentes raças, orientação sexual, origens, idades, gêneros, pessoas com deficiência, entre outros  #VemSerOrizonVR!
Analista de Performance;XCMG Brasil Indústria;Sênior;Publicada há 2 dias;a combinar;Congonhas;Regime CLT;Assistência médica + Assistência odontológica + Auxílio academia + Auxílio farmácia + Auxílio fretado + Participação nos Lucros ou Resultados;;Fundada em 1943, a XCMG é o maior grupo de empresas na indústria de maquinário de construção da China, com a maior variedade e série de produtos, e a mais competitiva e influente no setor. A XCMG ocupa atualmente o3° lugar na indústria mundial de maquinário de construção, e o 1° lugar na China.  Desde 2004 no mercado brasileiro, a XCMG reafirma, cada dia mais, seu concreto investimento no território nacional e latino-americano. Irreverente ao importar produtos chineses no país, em 2014 a XCMG iniciou a sua linha de produção na cidade de Pouso Alegre/MG, que com sua localização estratégica na rodovia Fernão Dias, estreitou ainda mais os laços da marca com um mercado que, cada vez mais, exige qualidade, tecnologia e inovação.
Especialista em Fluídos de Perfuração;Grupo SERES;Sênior;Publicada em 14/06/2024;a combinar;Sergipe;Temporário;; O Grupo Seres com 60 anos de existência é uma das principais consultorias de Recursos Humanos do Brasil. Atuamos em todo o país atendendo empresas multinacionais e nacionais em diversos segmentos. Nosso propósito é conectar pessoas e organizações por meio de atendimento humanizado, processos customizados, ampla abrangência e eficiência.;
Executivo de Vendas;Atex do Brasil;Pleno;Publicada em 17/09/2024;a combinar;Belém;Regime CLT;Assistência médica + Auxílio academia + Auxílio combustível + Programa de remuneração variável + Seguro de vida + Vale-alimentação;Atividades:   Requisitos:   Atitudes importantes do profissional: Resiliência, Comprometimento, Foco em Resultado, Boa Comunicação, Planejamento, Negociação e Proatividade.   Demais informações: Salário fixo + comissão.  Assistência Médica / Medicina em grupo, Carro fornecido pela empresa, Celular fornecido pela empresa, Combustível, Seguro de vida em grupo, Tíquete-alimentação, Tíquete-refeição, Gympass.;Líder na América Latina, a Atex do Brasil é referência em soluções para lajes nervuradas. Fundada em 1991 por meio de uma joint venture entre empresários brasileiros e portugueses, a Atex foi pioneira ao trazer a tecnologia da Inglaterra para o Brasil e oferece hoje 127 modelos de fôrmas com a maior diversidade e qualidade de opções do mercado.  O histórico de inovação da Atex se estendeu também ao fornecimento de meia fôrma, ao sistema de fôrmas plásticas utilizados em projetos de laje maciça e das fôrmas plásticas para criar furos horizontais em laje nervurada que aumentam a produtividade da obra e permitem grandes economias de concreto e aço. Possui fabricação própria dos seus produtos e quatorze unidades estrategicamente localizadas. Todo projeto encontra uma solução inteligente e econômica com as fôrmas Atex.
Executivo de Vendas;Confidencial;Pleno;Publicada em 19/09/2024;a combinar;São Paulo;Regime CLT;Assistência médica + Auxílio academia + Auxílio combustível + Programa de remuneração variável + Seguro de vida + Vale-alimentação;Atividades:    Requisitos:    Atitudes importantes do profissional: Resiliência, Comprometimento, Foco em Resultado, Boa Comunicação, Planejamento, Negociação e Proatividade.   Demais informações: Salário fixo + comissão.  Assistência Médica / Medicina em grupo, Carro fornecido pela empresa, Celular fornecido pela empresa, Combustível, Seguro de vida em grupo, Tíquete-alimentação, Tíquete-refeição, Gympass.;
