nome_vaga;empresa;id;nivel_experiencia;data_publicacao;faixa_salario;localizacao;modelo_contrato;beneficios;descricao_vaga
Estagiário(a) em Engenharia;ZF AUTOMOTIVE;11;Estágio;Publicada em 25/09/2024;a combinar;Limeira;Estágio;Assistência médica, Assistência odontológica, Restaurante interno, Seguro de vida, Vale-transporte;"O que você pode esperar sendo um(a) Estagiário(a) em Engenharia:  Suporte aos Engenheiros em atividades/rotinas diárias, interface com a fábrica e cuidar de documentações e processos; Auxílio nos processos administrativos;  O seu perfil sendo um(a) Estagiário(a) em Engenharia:  Ensino superior cursando em Engenharia de Produção, Manufatura, Mecânica, Mecatrônica, Automação, Software ou áreas correlatas; Inglês Intermediário; Desejável conhecimento em análise de dados; Conhecimento avançado nas ferramentas do Office. Desejável conhecimento em Microsoft Power Plataforms. "
Engenheiro Agrônomo;Liotécnica Tecnologia em Alimentos SA;12;Pleno;Publicada em 10/10/2024;a combinar;Embu;Regime CLT;Assistência médica, Assistência odontológica, Auxílio farmácia, Participação nos Lucros ou Resultados, Seguro de vida, Vale-alimentação;"Vaga: Engenheiro Agrônomo  Descrição da vaga: Estamos em busca de um Engenheiro Agrônomo para se juntar à nossa equipe. O candidato ideal terá experiência em planejamento e execução de projetos agrícolas, bem como conhecimento em técnicas de cultivo e manejo de solos.  Responsabilidades: - Planejar e acompanhar projetos agrícolas junto aos produtores rurais; - Desenvolver técnicas de cultivo e programas de incentivo e fomento a cultivos de interesse da companhia - Monitorar e controlar a qualidade dos produtos agrícolas; - Gerenciar equipes de trabalho. - Análise de dados obtidos nas áreas de cultivo e indicação de melhorias dos sistemas produtivos; - Prestar suporte técnico agronômico à companhia, na avaliação de novos negócios; - Capacitação, treinamento e atualização tecnológica de técnicos e produtores rurais (frutas/vegetais/tubérculos)   Requisitos: - Formação em Engenharia Agronômica (Outras formações na área de Agronomia são aceitas, desde que acompanhadas de certidão emitida pelo respectivo Conselho de Classe, atestando todas as atribuições profissionais de Engenheiro Agrônomo. - Registro no respectivo Conselho de Classe; - Experiência em planejamento e execução de projetos agrícolas; - Conhecimento em técnicas de cultivo, manejo de solos e verificação de defensivos agrícolas; - Habilidade em gerenciamento de equipes. - Carteira de habilitação: categoria B  Informações complementares: Veículo da empresa - disponibilidade para viagens  Local de trabalho: Embu das Artes/SP (Bairro: Jd Sta. Bárbara - CEP 06818-901)  Tipo de contrato: CLT  Como se candidatar: Clique no botão ""Candidate-se"" abaixo e preencha o formulário com seus dados e anexe seu currículo. Aguardamos sua candidatura! "
Engenheiro(a) Instrumentação;Emthos;13;Sênior;Publicada em 07/10/2024;R$ 16.000 a R$ 16.100;100% Home Office;Regime CLT;Assistência médica, Assistência odontológica, Seguro de vida, Vale-refeição;"Emissão de comentários técnicos em resposta a solicitações de informações e solicitações de mudanças de projetos; Emissão de relatórios e atualização de planilhas e/ou banco de dados para controle de comentários emitidos, elaboração de ordens de serviços para UNs (Unidades de Negócio) Clientes e gestão de informações dos projetos; Experiência com fiscalização de Projetos da área de óleo e gás e/ou Petroquímica. Suporte ao Gerenciamento de Projetos e Portfólio contemplando atividades relacionadas. à utilização, configuração, atualização e gestão das ferramentas de automação e gestão de projetos. Superior completo em Engenharia Elétrica Experiência em Instrumentação Pacote Office; Conhecimentos em simuladores de processo, software PTW, E3D, Autocad e SAP  Informações complementares:  44 horas semanais (07:30 às 17:30 de segunda a quinta e 07:30 às 16:30 nas sextas-feiras) Contrato: CLT Tempo de contrato: 36 meses. Atuação 100% remota  "
025319 - Engenheiro Eletricista Sênior;Lyon Engenharia;14;Sênior;Publicada em 11/10/2024;a combinar;Todo o Brasil;Regime CLT;Assistência médica, Auxílio fretado, Vale-alimentação, Vale-refeição;"Desenvolvimento de atividades de projeto, individualmente e/ou na coordenação de equipe, de trabalhos que compreendem análise de dados e detalhamento de soluções técnicas de problemas complexos.  Realizar atividades inerentes a gestão de ativos nos parques industriais do Corredor Norte na fase Porto para disciplina de mecânica. Suporte no levantamento de campo e inventário de ativos. Elaboração de taxonomia conforme documentação Vale; Classificação de ativos e componentes conformes normas Vale; Elaboração de planos de manutenção conforme PNRs de Gestão de ativos. Análise de confiabilidade com foco no acompanhamento da eficácia dos planos de manutenção; interface com áreas da manutenção para levantamento e validação de informações relevantes para a revisão de planos. Conhecimento de métricas de planejamento e implantação de obras/empreendimentos; Apoiar a gerência na gestão de documentos, elaboração de relatórios, reporte de indicadores e apresentações inerentes a área."
Engenheiro(a) Eletricista;Emthos;15;Sênior;Publicada em 07/10/2024;R$ 16.000 a R$ 16.100;100% Home Office;Regime CLT;Assistência médica, Assistência odontológica, Seguro de vida, Vale-refeição;"Emissão de comentários técnicos em resposta a solicitações de informações e solicitações de mudanças de projetos; Emissão de relatórios e atualização de planilhas e/ou banco de dados para controle de comentários emitidos, elaboração de ordens de serviços para UNs (Unidades de Negócio) Clientes e gestão de informações dos projetos; Experiência com fiscalização de Projetos da área de óleo e gás e/ou Petroquímica. Suporte ao Gerenciamento de Projetos e Portfólio contemplando atividades relacionadas. à utilização, configuração, atualização e gestão das ferramentas de automação e gestão de projetos. Superior completo em Engenharia Elétrica Pacote Office; Conhecimentos em simuladores de processo, software PTW, E3D, Autocad e SAP Verificação de documentos de engenharia e detalhamento; Interface multidisciplinar e com gerentes de projeto, fornecedores e clientes; Informações complementares: 44 horas semanais (07:30 às 17:30 de segunda a quinta e 07:30 às 16:30 nas sextas-feiras) Contrato: CLT Tempo de contrato: 36 meses. Atuação 100% remota"
Engenheiro de Planejamento;Confidencial;16;Pleno;Publicada ontem;a combinar;São Paulo;Regime CLT;;
Engenheiro de Planejamento;M4 construções Ltda;17;Pleno;Publicada em 31/08/2024;a combinar;São Paulo;Pessoa Jurídica;; Obras de Infra Estrutura Fundada em 2017 CNPJ: 26.803.134/0001-34
Engenheiro Químico;Emthos;18;Pleno;Publicada em 11/10/2024;R$ 13.000 a R$ 17.000;Todo o Brasil;Regime CLT;Assistência médica, Assistência odontológica, Restaurante interno, Seguro de vida;"Serviços de Acompanhamento de Processo das operações de Refino do Petróleo.  - Apuração de Indicadores;- Acompanhar, participar e executar a organização e métodos de trabalho, com foco na melhoria da produtividade, analisando os processos correntes, propondo rotinas e padronizações eficazes das atividades;- Apoiar a administração das soluções de gestão e qualidade de dados; - Apoiar no tratamento de anomalias de ocorrências operacionais, análise de riscos operacionais e análise crítica do desempenho de unidades operacionais.  - Acompanhar, participar e executar atividades relacionadas aos processos de Destilação de petróleo, Craqueamento Catalítico Fluido, Coqueamento Retardado, Hidrotratamento, Geração de Hidrogênio, Recuperação de Enxofre, Tratamento de Água Ácida e Tratamento de Gás Ácido;  Necessário: Pacote Office, Excel Avançado, Conhecimentos básicos em ferramentas de cálculos de engenharia (softwares e planilhas eletrônicas de cálculos de processo) e Simuladores de processo. Desejável: Conhecimentos em Power BI.   Informações complementares: 44 horas semanais (07:30 às 17:30 de segunda a quinta e 07:30 às 16:30 nas sextas-feiras) Contrato: CLT Tempo de contrato: 36 meses. 100% presencial Local: Paulínia - SP "
Engenheiro Civil;BUREAU VERITAS;19;Auxiliar/ Operacional;Publicada hoje;a combinar;Volta Redonda;Regime CLT;Assistência médica, Assistência odontológica, Seguro de vida, Vale-refeição;"Buscamos profissionais que incorporem nossos valores, não têm medo de desafios, busquem inovar, experimentar e se aprimorar rapidamente. Nosso objetivo é contratar e reter os indivíduos mais brilhantes, oferecendo crescimento profissional e oportunidades de desenvolvimento em toda a carreira.  Se é você, adoraríamos conversar.   Sobre o Grupo Bureau Veritas  Fundado em 1828, somos líder mundial em serviços de testes laboratoriais, inspeção e certificação, possuímos mais de 74 mil funcionários em 1.400 escritórios e laboratórios ao redor do globo. Nossa missão é oferecer serviços e soluções inovadoras para garantir que os ativos, produtos e processos de nossos mais de 400 mil clientes atendam a padrões e regulamentos em termos de qualidade, saúde, segurança, proteção ambiental e responsabilidade social. Há 190 anos nossa marca é sinônimo de integridade e confiança, em benefício dos negócios e das pessoas, contribuindo para transformar o mundo em que vivemos. Para saber um pouco mais acesse o site www.bureauveritas.com.br   Principais Responsabilidades:  Coordenar, orientar, monitorar e controlar o desenvolvimento de engenharia e execução de projetos; Acompanhar, coordenar e fiscalizar a implantação dos projetos referentes a disciplina de civil/concreto armado; O que buscamos:  Ensino Superior em Engenharia Civil; Pacote Office Intermediário; Desejável vivência em obras de Mineração / Siderúrgica / Industrial / Infraestrutura.    O que nós podemos oferecer:  Esta é uma ótima oportunidade para desenvolver sua carreira, trabalhando em uma equipe de especialistas. Nossos colaboradores são inovadores, curiosos e ambiciosos, sempre motivados e focados em novas soluções, pois, somos constantemente desafiados por uma indústria em rápida evolução que inclui um portfólio global de clientes, com milhares empresas, grandes e pequenas que confiam em nosso trabalho para melhorar seus negócios.    Ao participar deste processo de recrutamento & seleção, do Bureau Veritas Brasil, o(a) candidato(a) declara:  Estar em condições técnicas e operacionais, no que tange à ergonomia, estação de trabalho e velocidade de conexão internet para desempenhar, quando necessário, o trabalho remoto “home office”;  O Bureau Veritas está em conformidade com a Constituição Federal brasileira (no inc. V do seu art. 5o.inc. XXVIII, a, do art. 5o) bem como, a Lei nº 13.709/18, que dispõe sobre o Tratamento e Proteção de Dados Pessoais (LGPD). Sendo assim, mediante o seu consentimento com o envio de informações está em consonância com o Bureau Veritas, respeitando a Legislação supramencionada."
Supervisor (a) Engenharia Clínica - Engenharia Clínica - São Caetano;Rede D'Or;20;Supervisão/ Coordenação;Publicada hoje;a combinar;São Caetano do Sul;Regime CLT;Assistência médica, Assistência odontológica, Convênio com empresas parceiras, Refeitório, Vale-alimentação, Vale-transporte;"Requisitos: - Formação: Superior Completo em Engenharias (Produção, Telecomunicação, Elétrica, Eletrônica ou Mecânica); - Registro em conselho ou certificações específicas (quando necessário): CREA Ativo; - Experiência: Conhecimento e vivência na área;   Atividades:  - Garantir a implantação e o uso integral do software de gerenciamento aplicado para o controle da área e o fornecimento de todos os dados que possam ser solicitados;  
- Auxiliar na definição do uso de novas tecnologias (conforme escopo da Engenharia Clínica) para Hospitais novos e/ou Hospitais em funcionamento, participando desde o planejamento, distribuição dos equipamentos e recebimento, conforme classificação das unidades e demanda do cliente interno.  
- Gerar relatórios para a Diretoria da unidade e para a Diretoria da Engenharia Clínica Corporativa sempre que solicitado, assim também como auditorias;   Outras informações: - Local de trabalho: São Caetano; - Escala de trabalho: 2° a 5° 08h as 18h  e 6° 08h as 17h; - Disponibilidade para treinamento: Manhã"
Estagiário Engenharia Mecânica;Vertiv Tecnologia do Brasil Ltda;21;Estágio;Publicada há 2 dias;a combinar;São Paulo;Estágio;; A Vertiv Tecnologia do Brasil Ltda é uma empresa líder global em Business - Critical Continuity™, soluções que permitem assegurar a continuidade da operação de redes de telecomunicações, data centers, centros de saúde e parques industriais. A Vertiv Tecnologia do Brasil Ltda oferece soluções inovadoras e experiência em áreas que incluem sistemas de energia CA e CC, sistemas de ar acondicionado de precisão, integração de aplicações de informática e energia, racks integrados e isolados, gerenciamento de energia, monitoramento de infraestrutura à distância e conectividade. Todas as soluções têm suporte global pelo serviço técnico local da Vertiv Tecnologia do Brasil Ltda.
Estágio Industrial (Engenharias);FI GROUP;22;Estágio;Publicada há 7 dias;a combinar;São Paulo;Estágio;Assistência médica, Assistência odontológica, Bolsa auxílio, Seguro de vida, Vale-refeição, Vale-transporte;"O FI Group busca Estagiários para área Técnica, para atuar no escritório de São Paulo.     Principais atividades:    Formação:  - Graduação em andamento: Engenharia de Produção, Engenharia Mecânica, Engenharia Elétrica/Eletrônica. - Cursos e Especializações na área de conhecimento - será um diferencial.  Outros requisitos:  - Pacote Office;  - Idiomas: Inglês e Espanhol (diferencial);  - Elaboração de relatórios será um diferencial. Inglês - Nível Intermediário"
Estágio em Engenharia de Manutenção;Colgate-Palmolive;23;Estágio;Publicada em 16/10/2024;R$ 1.800 a R$ 2.000;São Paulo;Estágio;"Estudantes engajados que estejam cursando Engenharia ou Analise e Desenvolvimento de Sistemas;, Inglês intermediário;";" A Colgate-Palmolive é uma empresa multinacional norte-americana, líder no segmento de bens de consumo e presente em mais de 200 países; cuja missão é trazer marcas confiáveis - e razões para sorrir - a milhões de consumidores em todo o mundo.  Com marcas globais vendidas em mais de 220 países, como: Colgate, Palmolive, Protex, Ajax, Pinho Sol e Hill’s Pet Nutrition estão entre as marcas domésticas mais conhecidas do mundo, confiadas por consumidores de todo o mundo.  Somos uma empresa global com propósito de levar a diversidade e a inclusão aos mais altos níveis.  Estamos comprometidos em construir um ambiente cada vez mais acolhedor, respeitoso e inclusivo para todas as pessoas. Queremos manter uma comunidade onde todos se sintam seguros para ser quem são, num ambiente que valoriza e respeita as diferenças.  Venha construir um futuro brilhante conosco!  #buildAfuture"
Estagiário de Engenharia - Aracaju - SE;FORSHIP ENGENHARIA S/A;24;Estágio;Publicada em 30/09/2024;a combinar;Aracaju;Estágio;Assistência médica, Assistência odontológica, Seguro de vida, Vale-alimentação, Vale-refeição, Vale-transporte;"Requisitos:  Atividades a serem exercidas:  Apoio técnico aos engenheiros; Revisão de procedimentos; Emissão de relatórios; Pesquisa de dados técnicos; Análise de normas e padrões.  Escolaridade:  Cursando Engenharia Elétrica, Mecânica ou de Petróleo e gás no mínimo no 5º período.  Conhecimento:  Pacote Office e Excel avançado; Habilidade de utilização de IA como, por exemplo, chat GPT. Inglês - Nível Intermediário Desejável:  Inglês intermediário."
Engenheiro de Instrumentação e Automação;Orizon Meio Ambiente;25;Sênior;Publicada em 08/10/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio farmácia, Cesta de natal, Seguro de vida;O Engenheiro de Instrumentação e Automação desempenhará um papel essencial na concepção, implementação e otimização dos sistemas de controle, automação e monitoramento nas nossas plantas industriais. Essa posição envolve conhecimentos técnicos avançados, colaboração interdisciplinar e foco na Indústria 4.0.  Entre as responsabilidades estão:
Estagiário Engenharia Química;Elekeiroz S/A;26;Estágio;Publicada em 24/09/2024;a combinar;São Paulo;Estágio;Assistência médica, Assistência odontológica, Refeitório, Vale-transporte;"Apoiar projetos e iniciativas da equipe, realizar pesquisas, auxiliar na organização de documentos, participar de reuniões e treinamentos, contribuir com ideias e soluções inovadoras. Emitir e controlar os boletins de produção, acompanhamento das plantas de produção, controle de tempo de batelada, atualização dos indicadores, participação das análises de riscos e inspeções de segurança. Analisar dados, gerenciamento de alarmes e participação em auditorias. Pacote Office Avançado (Excel); Superior Cursando Engenharia Química a partir do 7° semestre; Residir em Várzea Paulista e região ou possuir disponibilidade para mudança."
Estagiario Engenharia Civil;Orizon Meio Ambiente;27;Estágio;Publicada em 12/10/2024;a combinar;Jaboatão dos Guararapes;Estágio;Auxílio academia, Auxílio combustível, Auxílio farmácia, Cesta básica, Seguro de vida, Vale-refeição;"Atuar no atendimento, elaboração de planilhas, confecção de relatórios, organização de documentos e preenchimento de formulários internos; auxiliando nas atividades operacionais da sua área de atuação, separando e arquivando documentos, atendendo e preparando informações para atualização em sistemas na rede de informações da companhia; elaborando redação de cartas e documentos diversos para clientes, conforme orientação do seu superior imediato; elaborando planos e auxiliando a empresa a resolver os problemas e desafios pertinentes à sua área de atuação, com o intuito de cumprir com a previsão das atividades e aprender sobre trabalhar em equipe. Atuar no atendimento de colaboradores, clientes e fornecedores, buscando a resolução de problemas e/ou as necessidades apresentadas; Elaborar planilhas, confeccionar relatórios, preencher formulários internos visando o registro e/ou o encaminhando das necessidades apresentadas e suas respectivas soluções; Organizar os documentos em arquivos de meio físico ou digital objetivando o registro das informações, por assunto e em ordem cronológica, buscando atender as exigências dos procedimentos, normas e políticas para a sua área de atuação; Auxiliar em levantamentos internos, buscando dados e informações conforme solicitação recebida de seu superior imediato, com objetivo de atender as demandas da sua área de atuação;"
Estágio em Engenharia Química;Veolia Water Technologies & Solutions (VWTS);28;Estágio;Publicada em 08/10/2024;a combinar;Bahia;Estágio;Assistência médica, Assistência odontológica, Seguro de vida, Vale-alimentação, Vale-refeição, Vale-transporte;Com operações em 130 países e mais de 10.000 colaboradores em todo o mundo, a Veolia Water Technologies & Solutions resolve os mais complexos desafios mundiais de água, águas residuais e otimização de processos. Aproveitando um conjunto completo de tecnologias, especialidades químicas, produtos e serviços digitais, a empresa ajuda os clientes a otimizar os recursos hídricos, superar os desafios de processo e alcançar metas concretas de sustentabilidade. A Veolia Water Technologies & Solutions atende clientes de todas as indústrias, incluindo alimentos e bebidas, metais e mineração, energia, química e farmacêutica, petróleo e gás, petroquímica, papel e celulose, e setor municipal. Para mais informações: consulte nosso watertechnologies.com e conecte-se a nós no LinkedIn e Twitter.  A Veolia Water Technologies & Solutions está atualmente à procura de estudantes para uma vaga de Estágio em Engenharia Química que participará da rotina analítica de processos:  Responsabilidades:    “Na Veolia, somos conscientes que equipes diversas tomam decisões mais inteligentes, entregam melhores resultados e constroem uma sociedade mais forte. Somos uma organização que promove a diversidade e a inclusão em todos os níveis e temos orgulho de ser um local de trabalho com igualdade de oportunidades para todos. Oferecemos carreiras desafiadoras e com proposito, com benefícios competitivos e acordos de trabalho flexíveis.”
